away_team,at,home_team,weekday,winner_copy_paste
Illinois,@,Virginia,Sat,Virginia
Oregon,@,Ohio St,Sat,Oregon
South Carolina,@,East Carolina,Sat,South Carolina
Pittsburgh,@,Tennessee,Sat,Pittsburgh
Tulsa,@,Oklahoma St,Sat,Oklahoma St
Rutgers,@,Syracuse,Sat,Rutgers
Texas A&M,@,Colorado,Sat,Texas A&M
California,@,TCU,Sat,TCU
Air Force,@,Navy,Sat,Air Force
Iowa,@,Iowa St,Sat,Iowa
Appalachian St,@,Miami,Sat,Miami
Texas,@,Arkansas,Sat,Arkansas
NC State,@,Mississippi St,Sat,Mississippi St
Missouri,@,Kentucky,Sat,Kentucky
Washington,@,Michigan,Sat,Michigan
Utah,@,BYU,Sat,BYU
